,Close
0,17.81
1,19.03
2,20.50
3,21.13
4,22.06
5,20.98
6,20.64
7,20.01
8,19.66
9,20.79
10,21.28
11,21.03
12,20.10
13,19.86
14,19.86
15,22.21
16,23.04
17,22.84
18,21.38
19,21.67
20,21.82
21,19.81
22,20.15
23,19.76
24,19.32
25,20.54
26,21.03
27,22.16
28,21.13
29,20.79
30,20.20
31,20.40
32,20.74
33,21.40
34,21.64
35,22.70
36,26.95
37,25.75
38,26.54
39,27.54
40,26.56
41,25.41
42,24.46
43,25.00
44,26.19
45,26.22
46,27.98
47,26.76
48,27.20
49,26.56
50,26.17
51,24.12
52,25.41
53,22.99
54,23.92
55,23.75
56,24.80
57,24.95
58,24.73
59,23.45
60,24.41
61,25.39
62,24.65
63,24.68
64,24.80
65,23.67
66,24.46
67,24.70
68,25.29
69,24.46
70,23.72
71,24.51
72,25.34
73,24.48
74,23.58
75,24.95
76,26.15
77,29.35
78,29.10
79,31.94
80,25.78
81,25.61
82,23.75
83,24.43
84,22.89
85,23.38
86,22.77
87,23.85
88,23.14
89,21.67
90,22.11
91,20.67
92,20.35
93,21.87
94,21.42
95,19.61
96,20.62
97,20.25
98,21.01
99,20.72
100,19.37
101,19.47
102,22.33
103,22.87
104,24.65
105,25.68
106,23.41
107,24.51
108,24.80
109,25.85
110,25.36
111,26.54
112,27.37
113,28.03
114,27.98
115,28.08
116,28.32
117,30.72
118,28.32
119,26.66
120,27.69
121,26.93
122,26.85
123,28.64
124,26.34
125,26.54
126,27.29
127,27.78
128,29.40
129,31.04
130,31.40
131,32.58
132,36.71
133,36.59
134,35.12
135,36.27
136,35.51
137,36.37
138,39.33
139,38.86
140,42.43
141,44.05
142,43.02
143,43.14
144,42.80
145,40.06
146,41.11
147,41.09
148,42.97
149,42.46
150,38.62
151,34.93
152,34.88
153,32.58
154,29.96
155,26.22
156,28.71
157,28.96
158,30.52
159,38.10
160,37.76
161,42.97
162,39.57
163,41.85
164,44.46
165,42.21
166,43.97
167,45.39
168,42.56
169,43.27
170,48.52
171,50.09
172,51.17
173,52.29
174,55.13
175,51.65
176,57.21
177,52.39
178,55.91
179,52.83
180,53.15
181,55.00
182,51.85
183,49.40
184,51.14
185,46.42
186,47.03
187,61.28
188,57.00
189,59.88
190,61.84
191,59.81
192,64.06
193,64.91
194,55.00
195,56.25
196,57.09
197,55.72
198,57.72
199,59.97
200,60.56
201,52.50
202,51.28
203,51.38
204,47.81
205,42.78
206,42.78
207,43.41
208,44.44
209,45.69
210,35.31
211,33.69
212,34.56
213,32.00
214,33.19
215,30.44
216,32.44
217,34.06
218,31.75
219,31.63
220,35.00
221,36.85
222,36.00
223,34.39
224,30.01
225,28.85
226,32.35
227,30.95
228,29.23
229,30.32
230,27.45
231,30.25
232,31.90
233,29.20
234,28.65
235,27.00
236,26.74
237,29.58
238,28.83
239,28.71
240,27.90
241,26.93
242,26.45
243,28.40
244,25.79
245,26.24
246,25.68
247,25.51
248,24.75
249,24.10
250,24.50
251,23.95
252,18.21
253,17.89
254,15.40
255,16.00
256,16.00
257,17.00
258,18.01
259,18.02
260,16.83
261,19.18
262,22.08
263,20.52
264,20.17
265,23.32
266,21.81
267,20.70
268,20.90
269,21.65
270,23.46
271,22.42
272,22.16
273,21.96
274,20.85
275,20.98
276,19.82
277,20.03
278,20.18
279,20.11
280,18.20
281,17.77
282,17.37
283,17.72
284,18.65
285,17.21
286,16.86
287,20.00
288,19.35
289,19.24
290,18.57
